rule_id,source_id,source_name,source_url,document_title,document_no,rule_type,rule_theme,applicable_object,key_condition,required_materials,amount_range,loan_term,interest_rate_rule,risk_warning,legal_basis,summary,agent_usage,publish_date,effective_date,status,is_full_text,last_verified_at
RULE-001,NFRA_EVAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1187908&itemId=861&generaltype=1,银行业金融机构小微企业金融服务监管评价办法,,监管文件,评价对象与目的,银行业金融机构、小微企业金融服务,建立监管评价机制，从服务效果、机制体制、监管政策落实等维度评价小微金融服务。,按具体业务与银行最新要求核验,,,,,银行业金融机构小微企业金融服务监管评价办法,建立监管评价机制，从服务效果、机制体制、监管政策落实等维度评价小微金融服务。,政策背景解释；评价维度检索,2024-11-25,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-002,NFRA_EVAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1187908&itemId=861&generaltype=1,银行业金融机构小微企业金融服务监管评价办法,,监管文件,评价结果运用,银行业金融机构,评价结果可用于监管分类、政策引导和改进小微企业金融服务。,按具体业务与银行最新要求核验,,,,评价办法不等同于单户企业获贷承诺。,银行业金融机构小微企业金融服务监管评价办法,评价结果可用于监管分类、政策引导和改进小微企业金融服务。,合规提示；政策解释,2024-11-25,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-003,STATE_INCLUSIVE_2023,国务院/中国政府网,https://www.gov.cn/zhengce/content/202310/content_6908495.htm,国务院关于推进普惠金融高质量发展的实施意见,国发〔2023〕15号,政策文件,普惠金融发展目标,小微企业、个体工商户、涉农主体等,提高融资可得性与服务质量，完善风险分担、信用信息和消费者保护机制。,按具体业务与银行最新要求核验,,,,宏观政策不构成具体银行审批条件。,国务院关于推进普惠金融高质量发展的实施意见,提高融资可得性与服务质量，完善风险分担、信用信息和消费者保护机制。,普惠定位；建议依据,2023-10-11,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-004,STATE_INCLUSIVE_2023,国务院/中国政府网,https://www.gov.cn/zhengce/content/202310/content_6908495.htm,国务院关于推进普惠金融高质量发展的实施意见,国发〔2023〕15号,政策文件,信用信息与风险分担,普惠金融服务主体,推动信用信息共享，健全政府性融资担保和风险补偿机制。,按具体业务与银行最新要求核验,,,,数据使用仍须遵守授权、最小必要和安全要求。,国务院关于推进普惠金融高质量发展的实施意见,推动信用信息共享，健全政府性融资担保和风险补偿机制。,信用增级建议；数据合规提醒,2023-10-11,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-005,NFRA_WORKING_CAPITAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1151066&itemId=4214&generaltype=1,流动资金贷款管理办法,,监管规章,借款人条件与尽调,申请流动资金贷款的企事业法人或其他组织,银行应开展尽职调查，关注经营、财务、信用、用途和还款来源。,按具体业务与银行最新要求核验,,,,不得仅凭单一指标替代完整授信判断。,流动资金贷款管理办法,银行应开展尽职调查，关注经营、财务、信用、用途和还款来源。,材料清单；风险问诊,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-006,NFRA_WORKING_CAPITAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1151066&itemId=4214&generaltype=1,流动资金贷款管理办法,,监管规章,贷款用途,流动资金贷款借款人,贷款用于借款人日常生产经营周转，不得挪用于禁止性领域或用途。,按具体业务与银行最新要求核验,,,,用途不真实、资金回流或挪用是重要风险信号。,流动资金贷款管理办法,贷款用于借款人日常生产经营周转，不得挪用于禁止性领域或用途。,用途校验；合规警示,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-007,NFRA_WORKING_CAPITAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1151066&itemId=4214&generaltype=1,流动资金贷款管理办法,,监管规章,额度期限与还款,流动资金贷款借款人,额度和期限应与经营周期、资金需求、现金流和还款能力相匹配。,按具体业务与银行最新要求核验,,,,Agent 只能提供合理性提示，不能替代银行测算。,流动资金贷款管理办法,额度和期限应与经营周期、资金需求、现金流和还款能力相匹配。,额度期限建议；现金流诊断,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-008,NFRA_RENEWAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1180101&itemId=4215&generaltype=1,关于做好续贷工作 提高小微企业金融服务水平的通知,金规〔2024〕13号,监管文件,续贷适用对象,符合条件的小微企业及相关经营主体,对依法合规经营、信用良好且有持续融资需求的主体，可按规定提供续贷支持。,按具体业务与银行最新要求核验,,,,续贷不是自动展期，也不免除重新调查评审。,关于做好续贷工作 提高小微企业金融服务水平的通知,对依法合规经营、信用良好且有持续融资需求的主体，可按规定提供续贷支持。,续贷资格预诊断,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-009,NFRA_RENEWAL_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1180101&itemId=4215&generaltype=1,关于做好续贷工作 提高小微企业金融服务水平的通知,金规〔2024〕13号,监管文件,续贷风险管理,办理续贷的银行与借款人,银行应做好调查评审、合同衔接、风险分类和贷后管理。,按具体业务与银行最新要求核验,,,,隐瞒恶化现金流或借新还旧风险会影响判断。,关于做好续贷工作 提高小微企业金融服务水平的通知,银行应做好调查评审、合同衔接、风险分类和贷后管理。,续贷材料清单；风险提醒,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
RULE-010,NFRA_DUE_DILIGENCE_2024,国家金融监督管理总局,https://www.nfra.gov.cn/cn/view/pages/governmentDetail.html?docId=1173314&itemId=4215&generaltype=1,关于普惠信贷尽职免责工作的通知,,监管文件,尽职免责边界,银行普惠信贷从业人员与机构,建立尽职免责机制，对符合规定并勤勉尽责的人员按程序开展认定。,按具体业务与银行最新要求核验,,,,尽职免责属于银行内部治理，不是借款人债务免责。,关于普惠信贷尽职免责工作的通知,建立尽职免责机制，对符合规定并勤勉尽责的人员按程序开展认定。,术语解释；防止误导,2024,,公开来源；使用前复核现行有效性,0,2026-06-20
