银行名称,银行层级,覆盖范围,重点服务区域,线上化程度,备注
工商银行,国有大行,全国（所有省市区）,城市和县域全覆盖,高,工行"经营快贷"全国可用，支持全线上申请
农业银行,国有大行,全国（所有省市区）,县域和农村重点覆盖,高,农行"微捷贷"对涉农企业有专项通道
中国银行,国有大行,全国（所有省市区）,外贸/跨境企业优先,高,中行"中银企E贷"全国可用，跨境结算数据助力授信
建设银行,国有大行,全国（所有省市区）,普惠金融重点行,高,建行"惠懂你"APP全国可用，建行征信要求（逾期≤6次）相对宽松
交通银行,国有大行,全国（所有省市区）,城市区域为主,高,交行"普惠e贷"全国可用，线上审批效率较高
邮储银行,国有大行,全国（所有省市区）,县域和农村深度覆盖,高,邮储"小微易贷"对三农领域有专项支持，县域网点最多
招商银行,股份制,全国（所有省市区）,一二线城市,高,招行"招贷"APP全国可用，对科创企业有专项产品
浦发银行,股份制,全国（所有省市区）,一二线城市,高,浦发"浦慧税贷"全国可用，依托纳税数据
中信银行,股份制,全国（所有省市区）,一二线城市,中高,中信"信e融"全国可用，对制造业有偏好
民生银行,股份制,全国（所有省市区）,一二线城市,中高,民生"民生小微"全国可用，对批发零售业经验丰富
兴业银行,股份制,全国（所有省市区）,一二线城市,中高,兴业"兴享贷"全国可用，绿色金融有特色
平安银行,股份制,全国（所有省市区）,一二线城市,高,平安"新一贷"全国可用，大数据风控能力强
光大银行,股份制,全国（所有省市区）,一二线城市,中高,光大"阳光普惠"全国可用，对供应链金融有特色
华夏银行,股份制,全国（所有省市区）,一二线城市,中,华夏"华夏普惠"主要在一二线城市，三四线城市网点少
北京银行,城商行,北京及京津冀区域,京津冀地区,中,"京e贷"主要服务北京地区企业
上海银行,城商行,上海及长三角区域,长三角地区,中,"上行普惠"以上海为中心辐射长三角
南京银行,城商行,江苏为主,江苏省及周边,中,"鑫e贷"江苏省内覆盖较全
杭州银行,城商行,浙江为主,浙江省及长三角,中,"云采贷"浙江省内覆盖广
宁波银行,城商行,浙江为主+上海,浙江省及上海,高,宁波银行线上化程度在城商行中领先
成都银行,城商行,四川为主,四川省内,中,主要服务四川本地企业
重庆银行,城商行,重庆及周边,重庆市及四川,中,成渝双城经济圈政策受益行
苏州银行,城商行,苏州及江苏,苏州市及江苏省,中,苏州地区制造业企业重点推荐
西安银行,城商行,陕西为主,陕西省内,中,服务本地特色产业（文旅/能源）
郑州银行,城商行,河南为主,河南省内,中,对河南本地制造业有经验
网商银行,互联网银行,全国（纯线上）,全国,极高,阿里系生态数据赋能；蚂蚁集团背景
微众银行,互联网银行,全国（纯线上）,全国,极高,腾讯系生态数据赋能；微粒贷系列
新网银行,互联网银行,全国（纯线上）,全国,极高,新一代互联网银行，全线上化运营
渣打银行,外资银行,主要一二线城市,北上广深,中,对外资企业/外贸企业有优势
汇丰银行,外资银行,主要一二线城市,北上广深,中,对港资企业/外贸企业有优势
