rule_id,source_id,source_name,source_url,document_title,document_no,rule_type,rule_theme,province,city,applicable_object,key_condition,subsidy_content,amount_range,risk_warning,agent_usage,publish_date,effective_date,last_verified_at
LOC-RULE-001,GDSZ_2025,广东省人民政府,https://www.gd.gov.cn/zwgk/zcjd/mtjd/content/post_4512830.html,广东省推动普惠金融高质量发展实施方案,粤府办〔2025〕3号,地方政策,广东普惠金融目标,广东省,全省,小微企业/个体工商户/涉农主体,在广东省注册经营的小微企业和个体工商户,对单户授信总额1000万元以下的普惠型小微企业贷款给予风险补偿,单户≤1000万元,各地市实施细则可能有差异，以当地金融局最新文件为准,广东地区企业诊断时优先引用；风险补偿查询提示,2025-01-15,2025-02-01,2026-06-23
LOC-RULE-002,GDSZ_EVAL,广东省地方金融监督管理局,https://www.gdjr.gov.cn/zwgk/zcfg/content/post_4600218.html,广东省小微企业融资担保降费奖补实施细则,粤金监〔2025〕11号,地方政策,融资担保降费,广东省,全省,小微企业和涉农主体,年化担保费率不超过1.5%的小微企业融资担保业务,对担保机构给予0.5%-1%的奖补,按实际担保金额,奖补对象为担保机构，企业需确认合作担保公司是否在奖补名单内,广东地区企业担保费减免提示；担保公司资质查询建议,2025-03-10,2025-04-01,2026-06-23
LOC-RULE-003,GDSZ_GBA,深圳市地方金融监督管理局,https://www.sz.gov.cn/cn/xxgk/zfxxgj/bmxxgk/content/post_11601860.html,深圳市普惠金融发展促进办法,深金监规〔2025〕2号,地方政策,深圳普惠金融,广东省,深圳市,在深注册的科技型/创新型小微企业,在深圳市注册并实际经营的科技型或创新型小微企业,对符合条件的科技型企业首贷给予最高20万元贴息,首贷贴息≤20万,深圳政策力度较大，但仅限科技型/创新型小微企业,深圳地区企业重点匹配；科创属性认定标准提示,2025-05-20,2025-07-01,2026-06-23
LOC-RULE-004,ZJSZ_2025,浙江省人民政府,https://www.zj.gov.cn/art/2025/1/10/art_1229017135_2528859.html,浙江省推进普惠金融高质量发展实施方案,浙政办发〔2025〕2号,地方政策,浙江普惠金融目标,浙江省,全省,小微企业/个体工商户/农户,服务小微企业和个体工商户占全部贷款比重不低于40%,推动无抵押信用贷款占比提升至30%以上,视产品而定,浙江省信用贷款占比高，无抵押企业可优先考虑浙江本地银行,浙江地区企业诊断时优先引用；信用贷款匹配提示,2025-01-10,2025-02-01,2026-06-23
LOC-RULE-005,ZJSZ_WENZHOU,温州市金融办,https://www.wenzhou.gov.cn/art/2025/3/15/art_1229385128_6043285.html,温州市小微企业信用保证基金运行管理办法,温金融办〔2025〕6号,地方政策,信用保证基金,浙江省,温州市,在温注册的小微企业,在温州市注册且无不良信用记录的小微企业,信保基金提供单户最高500万元的融资担保,单户≤500万元,信保基金有行业偏好（制造业优先），非目标行业可能受限,温州地区制造业企业重点推荐；信保基金申请引导,2025-03-15,2025-04-01,2026-06-23
LOC-RULE-006,JSSZ_2025,江苏省人民政府,https://www.jiangsu.gov.cn/art/2025/2/20/art_64797_11540098.html,江苏省深化普惠金融改革实施意见,苏政发〔2025〕8号,地方政策,江苏普惠金融目标,江苏省,全省,小微企业/科技创新企业,对首贷户和信用贷款给予财政激励,推动银行业金融机构普惠型小微企业贷款增速不低于各项贷款增速,视产品而定,江苏省制造业集群优势明显，制造业企业申请贷款有产业政策加持,江苏地区制造业/科技型企业诊断时优先引用,2025-02-20,2025-03-15,2026-06-23
LOC-RULE-007,JSSZ_SUZHOU,苏州市金融监管局,https://www.suzhou.gov.cn/szsrmzf/bmwj/202505/8c4e8e1f0eaf4fb8b0d3c6b9e3e7e0d8.shtml,苏州市小微企业数字金融赋能工程实施方案,苏金监发〔2025〕18号,地方政策,数字金融赋能,江苏省,苏州市,在苏注册的小微企业/个体工商户,在苏州市注册且具备6个月以上经营数据的小微企业,通过数字征信平台撮合纯线上信用贷款，单户最高300万元,单户≤300万元,需要企业授权接入苏州综合金融服务平台，有数据门槛,苏州地区企业重点推荐线上信用贷；数字征信平台接入引导,2025-05-10,2025-06-01,2026-06-23
LOC-RULE-008,SHSZ_2025,上海市人民政府,https://www.shanghai.gov.cn/nw12344/20250120/2c9f9e1f7a6b4d8a9b0c1d2e3f4a5b6c.html,上海市普惠金融专项行动计划（2025-2027年）,沪府办发〔2025〕1号,地方政策,上海普惠金融目标,上海市,全市,小微企业/科技创新企业/个体工商户,在上海注册且实际经营的各类市场主体,对科技型小微企业贷款给予LPR减50BP的利率优惠，持续3年,视产品而定,上海人力成本高，对初创企业的日常经营流水要求严格,上海地区科技型小微企业重点匹配；日常流水健康度提示,2025-01-20,2025-03-01,2026-06-23
LOC-RULE-009,BJSZ_2025,北京市人民政府,https://www.beijing.gov.cn/zhengce/zhengcefagui/202502/t20250208_3856710.html,北京市促进中小微企业融资能力提升若干措施,京政办发〔2025〕4号,地方政策,北京融资促进,北京市,全市,中小微企业/科技型中小企业,在北京注册的中小微企业及科技型中小企业,对单户1000万元以下小微企业贷款给予0.5%利息补贴，连续贴息2年,单户≤1000万元,贴息申请需要企业纳税等级B级以上，且无不良信用记录,北京地区企业利息补贴申请引导；纳税等级要求提示,2025-02-08,2025-03-01,2026-06-23
LOC-RULE-010,BJSZ_ZHONGGUAN,中关村科技园区管委会,https://www.zgcgw.beijing.gov.cn/zwgk/zcfg/202504/t20250412_3962108.html,中关村示范区科技型企业融资风险补偿资金管理办法,中科园发〔2025〕7号,地方政策,科技型企业风险补偿,北京市,中关村示范区,在中关村注册的科技型企业,在中关村示范区内注册且被认定为科技型中小企业或高新技术企业,对合作银行发放的科技型小微企业不良贷款给予最高50%风险补偿,视具体贷款金额,仅限中关村示范区注册企业，非中关村企业不可申请,中关村科技企业重点匹配；高新技术企业认定引导,2025-04-12,2025-05-01,2026-06-23
