record_id,source_dataset,data_origin,borrower_scope,business_type,industry,business_age,monthly_revenue,monthly_cost,net_cashflow,existing_debt,loan_amount,loan_currency,loan_term,interest_rate,has_license,has_bank_flow,overdue_history,has_guarantee,risk_label,risk_label_definition,original_credit_risk,checking_status_code,credit_history_code,loan_purpose_code,loan_purpose,savings_code,employment_duration_code,installment_rate_code,personal_status_sex_code,other_debtors_code,present_residence_code,property_code,age,other_installment_plans_code,housing_code,number_credits_code,job_code,people_liable_code,telephone_code,foreign_worker_code
SGC-0001,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1049,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,2,used_car,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2
SGC-0002,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2799,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2
SGC-0003,UCI South German Credit,public_real_world_historical,individual,,,,,,,,841,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,9,retraining,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2
SGC-0004,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2122,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1
SGC-0005,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2171,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,4,3,1,4,2,38,1,2,2,2,2,1,1
SGC-0006,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2241,DEM,10,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1
SGC-0007,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3398,DEM,8,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1
SGC-0008,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1361,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1
SGC-0009,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1098,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2
SGC-0010,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3758,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,3,furniture_equipment,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2
