record_id,source_dataset,data_origin,borrower_scope,dataset,business_age_years,registered_capital_wan,industry,employee_count,annual_revenue_wan,annual_profit_wan,profit_margin,cash_flow_wan,asset_liability_ratio,invalid_invoice_ratio,supplier_count,customer_count,customer_concentration,tax_level,tax_score,annual_tax_wan,has_default_history,overdue_count_2yr,credit_inquiry_3m,legal_disputes,has_real_estate,real_estate_value_wan,has_other_collateral,revenue_volatility,is_ecommerce,is_tech_enterprise,default_probability,has_defaulted,credit_rating,loan_amount,loan_currency,loan_term,interest_rate,has_license,has_bank_flow,overdue_history,has_guarantee,original_credit_risk,checking_status_code,credit_history_code,loan_purpose_code,loan_purpose,savings_code,employment_duration_code,installment_rate_code,personal_status_sex_code,other_debtors_code,present_residence_code,property_code,age,other_installment_plans_code,housing_code,number_credits_code,job_code,people_liable_code,telephone_code,foreign_worker_code,risk_label,risk_label_definition
SGC-0001,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,DEM,18,,,,,0,1,1,4,2,used_car,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0002,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799,DEM,9,,,,,0,1,1,4,0,other,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0003,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,DEM,12,,,,,0,1,2,2,9,retraining,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0004,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122,DEM,12,,,,,0,1,1,4,0,other,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0005,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171,DEM,12,,,,,0,1,1,4,0,other,1,3,4,3,1,4,2,38,1,2,2,2,2,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0006,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,DEM,10,,,,,0,1,1,4,0,other,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0007,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3398,DEM,8,,,,,0,1,1,4,0,other,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0008,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361,DEM,6,,,,,0,1,1,4,0,other,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0009,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,DEM,18,,,,,0,1,4,4,3,furniture_equipment,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0010,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758,DEM,24,,,,,0,1,2,2,3,furniture_equipment,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0011,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3905,DEM,11,,,,,0,1,1,4,0,other,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0012,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6187,DEM,30,,,,,0,1,1,4,1,new_car,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0013,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,DEM,6,,,,,0,1,1,4,3,furniture_equipment,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0014,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7582,DEM,48,,,,,0,1,2,3,10,business,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0015,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,DEM,18,,,,,0,1,1,2,3,furniture_equipment,5,4,2,4,1,4,3,23,3,1,2,2,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0016,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,DEM,6,,,,,0,1,1,2,3,furniture_equipment,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0017,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3939,DEM,11,,,,,0,1,1,4,0,other,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0018,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3213,DEM,18,,,,,0,1,2,2,3,furniture_equipment,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0019,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337,DEM,36,,,,,0,1,2,4,3,furniture_equipment,1,5,4,3,1,4,1,36,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0020,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228,DEM,11,,,,,0,1,4,4,0,other,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0021,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3676,DEM,6,,,,,0,1,1,4,0,other,1,3,1,3,1,3,1,37,3,1,3,3,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0022,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,DEM,12,,,,,0,1,2,4,0,other,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0023,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384,DEM,36,,,,,0,0,2,2,5,domestic_appliances,1,2,4,3,1,1,4,33,3,1,1,2,2,1,2,1,1=bad credit risk; 0=good credit risk
SGC-0024,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,DEM,12,,,,,0,1,2,4,4,radio_television,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0025,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716,DEM,6,,,,,0,1,1,4,0,other,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0026,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4771,DEM,11,,,,,0,1,2,3,3,furniture_equipment,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0027,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,DEM,12,,,,,0,1,1,2,2,used_car,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0028,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,DEM,9,,,,,0,1,2,4,3,furniture_equipment,1,5,2,3,1,4,1,37,3,2,3,2,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0029,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556,DEM,15,,,,,0,1,4,2,0,other,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0030,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4796,DEM,42,,,,,0,1,3,4,1,new_car,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0031,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3017,DEM,30,,,,,0,1,3,4,3,furniture_equipment,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0032,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3535,DEM,36,,,,,0,1,4,4,0,other,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0033,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6614,DEM,36,,,,,0,1,4,4,0,other,1,5,4,3,1,4,3,34,3,2,2,4,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0034,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376,DEM,24,,,,,0,1,4,2,3,furniture_equipment,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0035,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,DEM,15,,,,,0,1,1,2,0,other,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0036,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,DEM,6,,,,,0,1,1,4,0,other,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0037,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,DEM,12,,,,,0,1,4,4,0,other,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2,0,1=bad credit risk; 0=good credit risk
