行业代码,行业名称,准入等级,接受度系数,说明
manufacturing,制造业,正常准入,1.0,银行业优先支持行业
wholesale_retail,批发零售业,正常准入,1.0,银行业优先支持行业
it_tech,信息技术,正常准入,0.95,科创属性加分
scientific_research,科学研究,正常准入,0.95,科创属性加分
transportation,交通运输,正常准入,0.90,需真实交易背景
agriculture,农业,正常准入,0.90,三农政策支持
hospitality_food,住宿餐饮,一般准入,0.85,受经济周期影响
resident_service,居民服务,一般准入,0.85,小额分散型
education,教育,一般准入,0.85,政策敏感型
healthcare,卫生医疗,一般准入,0.85,稳定现金流
energy_utilities,电力热力,一般准入,0.80,重资产准入
culture_sports,文化体育,谨慎准入,0.80,轻资产运营
construction,建筑业,谨慎准入,0.75,需相关资质
other,其他行业,谨慎准入,0.70,视具体情况
mining,采矿业,严格限制,0.55,高污染/去产能行业
finance,金融业,严格限制,0.50,资金用途监控严格
entertainment,娱乐业,严格限制,0.45,KTV/酒吧等审慎
real_estate,房地产业,严格限制,0.30,非自用房地产开发严格禁止
