行业代码,行业名称,地域,调整系数,调整说明
manufacturing,制造业,广东省/珠三角,1.15,广东制造业集群优势明显（家电/电子/汽车），银行对珠三角制造业的支持力度显著高于全国平均
manufacturing,制造业,长三角（沪苏浙皖）,1.10,长三角先进制造业集聚，银行有专项额度倾斜
manufacturing,制造业,中西部地区,0.85,中西部制造业基础较弱，银行授信偏谨慎，通常要求更强担保
manufacturing,制造业,东北地区,0.70,东北制造业面临转型升级压力，部分银行收紧对传统制造业的信贷投放
wholesale_retail,批发零售业,珠三角/长三角,1.10,商贸流通活跃地区，银行对批发零售业接受度高
wholesale_retail,批发零售业,中西部/东北,0.80,商贸流通活跃度较低，银行对批发业的流水真实性核验更严格
it_tech,信息技术,一线城市（北上广深）,1.20,IT/软件企业集聚，银行有科创专项产品和更宽松的准入标准
it_tech,信息技术,新一线（杭州/成都/武汉/南京）,1.10,科技金融试点城市，部分银行有针对性科创信贷产品
it_tech,信息技术,三四线城市,0.75,IT/软件企业非银行重点关注行业，通常需要增信措施
scientific_research,科学研究,一线城市/省会城市,1.15,科研型企业在高校/科技园区周边更容易获得科创贷款
scientific_research,科学研究,非省会城市,0.80,科研资源较少，银行对该类企业的评估能力有限
agriculture,农业,山东/河南/黑龙江,1.15,农业大省，银行对涉农企业有专项信贷额度和政策支持
agriculture,农业,其他省份,0.90,农业非重点产业省份，银行涉农贷款产品较少
hospitality_food,住宿餐饮,旅游城市（三亚/丽江/桂林/厦门）,1.05,旅游城市住宿餐饮业流水有季节性，银行认可旺季流水
hospitality_food,住宿餐饮,非旅游城市,0.80,住宿餐饮行业整体受经济周期影响大，非旅游城市审批偏严
construction,建筑业,广东/浙江/江苏,1.00,建筑业活跃地区，有丰富招标合同可做应收账款融资
construction,建筑业,北方地区,0.70,建筑业受季节影响大（冬季停工），银行对北方建筑企业更谨慎
entertainment,娱乐业,一线和新一线城市,0.55,娱乐业在大型城市仍有部分融资空间，但银行审查严格
entertainment,娱乐业,其他地区,0.30,多数地区银行对娱乐业（KTV/酒吧等）采取严格限制或禁止准入
real_estate,房地产业,全国,0.30,房地产业非自用开发贷款全国性严格禁止，各地执行标准一致
real_estate,房地产业,北上广深,0.40,一线城市商业地产物业贷（以租金收入还款）有少量空间
finance,金融业,全国,0.50,金融业资金用途监控严格，与地方金融监管政策高度相关
